"","source","publishedAt","urlToImage","author","title","description","url","content","category"
"1","101greatgoals.com",2019-01-19 12:29:03,"https://www.101greatgoals.com/wp-content/uploads/2018/12/GettyImages-1072217156-3-1024x683.jpg","Conor Laird","Man United-linked Eder Militao reaches ‘verbal agreement’ to join Real Madrid","In-demand Porto defender Eder Militao is reportedly set to join Real Madrid at the end of the season. Porto starlet Militao, a 21-year-old centre-half, only made the move to Europe last summer, from his home country of Brazil. After coming up through the yout…","https://www.101greatgoals.com/news/man-united-linked-eder-militao-reaches-verbal-agreement-to-join-real-madrid/","In-demand Porto defender Eder Militao is reportedly set to join Real Madrid at the end of the season.
Porto starlet
Militao, a 21-year-old centre-half, only made the move to Europe last summer, from his home country of Brazil.
After coming up through the y… [+1774 chars]",NA
"2","9gag.com",2019-02-02 19:25:02,"https://images-cdn.9gag.com/photo/a2ZKjYZ_700b.jpg","https://facebook.com/9gag","Happened in brazil a few days ago, a brave girl rescue her brother from domestic fire.","More memes, funny videos and pics on 9GAG","https://9gag.com/gag/a2ZKjYZ/happened-in-brazil-a-few-days-ago-a-brave-girl-rescue-her-brother-from-domestic-fire","We provides an online platform to allows users to upload and share images, videos, and other content. We take the rights of intellectual property owners very seriously and comply as a service provider with all applicable provisions of the United States Digita… [+487 chars]",NA
"3","9gag.com",2019-02-03 01:50:01,"https://images-cdn.9gag.com/photo/aWYGPbA_700b.jpg","https://facebook.com/9gag","So carnival is about to start in Brazil and here is a group I would like to join","Tags: carnival, super mario luigi, Brazil 730 points, 39 comments.","https://9gag.com/gag/aWYGPbA/so-carnival-is-about-to-start-in-brazil-and-here-is-a-group-i-would-like-to-join","We provides an online platform to allows users to upload and share images, videos, and other content. We take the rights of intellectual property owners very seriously and comply as a service provider with all applicable provisions of the United States Digita… [+487 chars]",NA
"4","9gag.com",2019-02-16 17:00:01,"https://images-cdn.9gag.com/photo/aWYpRRA_700b.jpg","https://facebook.com/9gag","This town in Brazil was colonized by germans. Very beautiful.","More memes, funny videos and pics on 9GAG","https://9gag.com/gag/aWYpRRA/this-town-in-brazil-was-colonized-by-germans-very-beautiful","We provides an online platform to allows users to upload and share images, videos, and other content. We take the rights of intellectual property owners very seriously and comply as a service provider with all applicable provisions of the United States Digita… [+487 chars]",NA
"5","9to5google.com",2019-01-19 20:11:28,"https://9to5google.com/wp-content/uploads/sites/4/2019/01/google_maps_speed_limit_1.jpg?quality=82&strip=all&w=1600","Ben Schoon","Google Maps speed limits, speed camera alerts now rolling out widely on Android and iOS","After being in testing for over two years, Google has finally widely launched speed limits within Google Maps this week. Following a smaller rollout earlier this week, the feature is now rolling out on a much wider scale in regions around the globe. more… The…","https://9to5google.com/2019/01/19/google-maps-speed-limits-rollout/","After being in testing for over two years, Google has finally widely launched speed limits within Google Maps this week. Following a smaller rollout earlier this week, the feature is now rolling out on a much wider scale in regions around the globe.
Confirme… [+1432 chars]",NA
"6","9to5mac.com",2019-01-22 18:18:10,"https://9to5mac.com/wp-content/uploads/sites/6/2019/01/iphone.png?w=1500","Alex Allegro","Apple announces contest to crown 10 best ‘Shot on iPhone’ photos, submissions open through February 7th","Apple shared a Newsroom briefing today announcing a new contest to find the “best photos shot on iPhone”. Running from January 22 to February 7, Apple says its panel of eleven photography judges from around the world (including Phil Schiller), will select the…","https://9to5mac.com/2019/01/22/apple-contest-shot-on-iphone/","Apple shared a Newsroom briefing today announcing a new contest to find the “best photos shot on iPhone”. Running from January 22 to February 7, Apple says its panel of eleven photography judges from around the world (including Phil Schiller), will select the… [+1100 chars]",NA
"7","9to5mac.com",2019-01-28 13:03:59,"https://9to5mac.com/wp-content/uploads/sites/6/2013/06/mac-pro-wwdc-01.png?w=1600","Benjamin Mayo","NYT: The 2013 Mac Pro launch was partly delayed by the lack of US screw suppliers","The New York Times features a fun story today, shining some light on why big companies struggle to build products at scale in the United States. It claims that Apple failed to find a suitable domestic screw supplier for a particular Mac Pro part. It had to tu…","https://9to5mac.com/2019/01/28/apple-mac-pro-screwed/","The New York Times features a fun story today, shining some light on why big companies struggle to build products at scale in the United States.
It claims that Apple failed to find a suitable domestic screw supplier for a particular Mac Pro part. It had to t… [+1507 chars]",NA
"8","ABC News",2019-01-26 21:00:04,"https://s.abcnews.com/images/International/brazil-dam-collapse-11-rtr-jc-190125_hpMain_16x9_992.jpg","Aicha El Hammar Castano","34 dead, up to 300 feared missing after dam collapse","The dam is operated by the largest mining company in Brazil.","https://abcnews.go.com/International/34-dead-300-feared-missing-dam-collapse-brazil/story?id=60630590","At least 34 people are dead and up to 300 people have been reported missing after a dam collapsed in Brazil on Friday.
Interested in Brazil?
Add Brazil as an interest to stay up to date on the latest Brazil news, video, and analysis from ABC News.
More tha… [+2114 chars]","general"
"9","ABC News",2019-01-28 00:14:08,"https://s.abcnews.com/images/US/brazil-dam-collapse-ap-mo-20190127_hpMain_16x9_992.jpg","Aicha El Hammar Castano","58 dead, at least 300 missing after dam collapse","A dam collapse in Brazil has killed at least 58 people, with another 305 unaccounted for, officials say.","https://abcnews.go.com/International/58-dead-300-missing-dam-collapse-brazil/story?id=60630590","At least 58 people are dead and at least 300 people have been reported missing after a dam collapsed in Brazil on Friday.
Interested in Brazil?
Add Brazil as an interest to stay up to date on the latest Brazil news, video, and analysis from ABC News.
Eight… [+2493 chars]","general"
"10","Abduzeedo.com",2019-02-06 16:00:26,NA,"AoiroStudio","Inside Look at Tony Hawk's Skate Jam Game UI Design & Process","Inside Look at Tony Hawk's Skate Jam Game UI Design & Process AoiroStudio Feb 06, 2019 Our pals from Adobe XD have shared a story with a recent collaboration between the legendary Tony Hawk and the team over Maple Media for his new game Skate Jam. Now tacklin…","https://abduzeedo.com/node/85298","Our pals from Adobe XD have shared a story with a recent collaboration between the legendary Tony Hawk and the team over Maple Media for his new game Skate Jam. Now tackling the mobile game's world, Tony Hawks Skate Jam is now out on iOS and Android. Using Ad… [+4078 chars]",NA
"11","Abovetopsecret.com",2019-01-19 17:55:24,"http://files.abovetopsecret.com/images/ats16.jpg","ElGoobero","Brazil agriculture minister wants to open indigenous land to commercial farming","https://www.reuters.com/article/us-brazil-agriculture-indigenous/brazil-agriculture-minister-wants-to-open-indigenous-land-to-commercial-farming-idUSK CN1PC25P Brazil should open...","http://www.abovetopsecret.com/forum/thread1229773/pg1","www.reuters.com...
CN1PC25P Brazil should open indigenous land to commercial farming, Agriculture Minister Tereza Cristina Dias said on Friday...Farmers form a key base of
support for right-wing firebrand Bolsonaro who since taking office Jan. 1 has placed … [+850 chars]",NA
"12","Abs-cbn.com",2019-01-30 15:56:00,"https://sa.kapamilya.com/absnews/abscbnnews/media/2017/news/12/07/vaccine.jpg","Julie Steenhuysen, Reuters","Undeterred by Sanofi's stumble, Takeda takes similar path with dengue shot - ABS-CBN News","Undeterred by Sanofi's stumble, Takeda takes similar path with dengue shot ABS-CBN News CHICAGO - A new vaccine for the dengue virus is taking a potentially risky road to prevent the mosquito-borne disease that infects nearly 400 million people... View full c…","https://news.abs-cbn.com/overseas/01/30/19/undeterred-by-sanofis-stumble-takeda-takes-similar-path-with-dengue-shot","CHICAGO - A new vaccine for the dengue virus is taking a potentially risky road to prevent the mosquito-borne disease that infects nearly 400 million people each year.
Takeda Pharmaceutical Co Ltd plans to seek approval for the experimental vaccine first in … [+5605 chars]",NA
"13","Adeevee.com",2019-01-21 09:39:19,"http://www.adeevee.com/aimages/201901/21/colegio-darwin-imagine-print-411271-adeevee.jpg",NA,"Colégio Darwin: Imagine","Print Colégio Darwin The Children&rsquo;s Day is celebrated in Brazil on October 12, but the date changes according to the country culture around the world. The Col&eacute;gio Darwin believes that children can change the world with imagination. The world is m…","http://www.adeevee.com/2019/01/colegio-darwin-imagine-print/","The Children’s Day is celebrated in Brazil on October 12, but the date changes according to the country culture around the world. The Colégio Darwin believes that children can change the world with imagination.
The world is much better when we can turn into … [+23 chars]",NA
"14","Adeevee.com",2019-02-13 22:51:01,"https://www.adeevee.com/aimages/201902/13/honda-hr-v-honda-vsa-system-print-412066-adeevee.jpg",NA,"Honda HR-V : Honda VSA System","Print Honda Vehicle Stability Assist is an exclusive system designed by Honda to anticipate when the car is being driven either deliberately or inadvertently in such a way that a loss of control is about to occur. During cornering, VSA helps the car to correc…","https://www.adeevee.com/2019/02/honda-hr-v-honda-vsa-system-print/",NA,NA
"15","Adeevee.com",2019-02-05 20:03:14,"http://www.adeevee.com/aimages/201902/05/frisa-girl-grandma-gym-student-business-print-411682-adeevee.jpg",NA,"Frisa: Girl, Grandma, Gym, Student, Business","Print Frisa Frisa is the size of your hunger. Advertising Agency: MP Publicidade, Vila Velha, Brazil Creative Directors: Mônica Debbanné, Rodrigo Pegoretti Art Director: Daniel Galvão Copywriter: Rafael Venturini Illustrator: Daniel Galvão","http://www.adeevee.com/2019/02/frisa-girl-grandma-gym-student-business-print/",NA,NA
"16","Advocate.com",2019-02-09 20:43:30,"https://www.advocate.com/sites/advocate.com/files/2019/02/09/bolsonarox750_0.jpg","Daniel Reynolds","Brazil to Erase LGBTQ, Feminist Movements From School Textbooks","President Jair Bolsonaro is waging a war on ""Marxist ideology.""","https://www.advocate.com/world/2019/2/09/brazil-erase-lgbtq-feminist-movements-school-textbooks","Brazil is preparing for an alarming revision to the textbooks in its public schools.
President Jair Bolsonaro announced that information related to LGBTQ and feminist movements, which the recently elected far-right official called ""Marxist rubbish,"" will be … [+2785 chars]",NA
"17","Adweek.com",2019-01-22 18:30:56,"https://static.adweek.com/adweek.com-prod/wp-content/uploads/2019/01/CarRacingGameOnSmartphone-600x315.jpg","David Cohen","Fate/Grand Order Was the Most-Tweeted-About Game in 2018","There were some 1 billion tweets about gaming worldwide in 2018, and Twitter shared a look at some of the topics that generated the most buzz on its platform last year. The countries and regions that tweeted the most about gaming in 2018 were: Japan U.S. U.K.…","http://www.adweek.com/digital/fate-grand-order-was-the-most-tweeted-about-game-in-2018/","There were some 1 billion tweets about gaming worldwide in 2018, and Twitter shared a look at some of the topics that generated the most buzz on its platform last year.
The countries and regions that tweeted the most about gaming in 2018 were:
Japan
U.S.
… [+996 chars]",NA
"18","Al Jazeera English",2019-02-01 10:14:47,"https://www.aljazeera.com/mritems/Images/2019/2/1/48b0e868309140a3a086fefed8a1967a_18.jpg","Al Jazeera","Death toll in Brazil dam disaster rises to 110","At least 110 people confirmed dead in Brumadinho dam collapse while 238 people are still unaccounted for, say officials.","https://www.aljazeera.com/news/2019/02/death-toll-brazil-dam-disaster-rises-100-190201080443323.html","The death toll from a dam collapse in the Brazilian city of Brumadinho has jumped to 110 people, according to an official and rescue workers at the site.
Lieutenant Flavio Godinho, an official at the Minas Gerais state civil defence agency, told the Associat… [+1744 chars]","general"
"19","Al Jazeera English",2019-02-08 11:26:15,"https://www.aljazeera.com/mritems/Images/2019/2/8/5ebee2d4b58b4144b3a902f8f62e08f5_18.jpg","Al Jazeera","Several killed in fire at Flamengo football club training centre","Firefighters say 10 people have died in a fire at a training facility of one of Brazil's biggest football clubs.","https://www.aljazeera.com/news/2019/02/killed-fire-flamengo-football-club-training-centre-190208105212098.html","A fire at the training centre of Rio de Janeiro football club Flamengo has killed 10 people and injured at least three others, firefighters have said.
The fire broke out on Friday at Ninho do Urubu, a state-of-the-art training centre that was expanded and op… [+674 chars]","general"
"20","Al Jazeera English",2019-02-12 21:59:44,"https://www.aljazeera.com/mritems/Images/2019/2/12/0abaf659bbf14870b662e603b6f69673_18.jpg","Mia Alberti","Brazil's Pataxo depended on a river that's now polluted with mud","The Pataxo indigenous tribe's main source of food and water was destroyed after January's dam collapse in eastern Brazil","https://www.aljazeera.com/news/2019/02/brazil-pataxo-depended-river-turned-mud-190212165216265.html","Brumadinho, Brazil - A flock of black birds circled above a little stretch of land next to the Paraopeba river in eastern Brazil's Brumadinho, city in the state of a Minas Gerais. Its waters were dark orange and smelled like putrid fish.
""They're vultures. I… [+10030 chars]","general"
"21","Al Jazeera English",2019-01-30 20:28:06,"https://www.aljazeera.com/mritems/Images/2019/1/30/60136c07608b45979f33125eefb88a8e_18.jpg","Mia Alberti","Brazil dam disaster: 'Dead or alive, we just want to know'","Families search for answers after muddy sea of debris swept away everything in its path and killed more than 80 people.","https://www.aljazeera.com/news/2019/01/brazil-dam-disaster-dead-alive-190130175714119.html","Brumadinho, Brazil - Rose Silva sat patiently in a crowded makeshift rescue centre in Brumadinho, Minas Gerais. She was waiting to hear any news about her cousin, Wesley. He's one of the 272 people still missing after a dam collapsed in this northeastern Braz… [+5933 chars]","general"
